Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1664175600000,1280.23000000,1300.46000000,1279.35000000,1295.44000000,41320.30990000,1664179199999,53399137.78500200,46598,21145.74200000,27336890.18438500,0
1664179200000,1295.43000000,1322.74000000,1293.38000000,1320.71000000,40607.82630000,1664182799999,53143912.34423500,46438,23165.30370000,30319951.35982600,0
1664182800000,1320.70000000,1325.06000000,1308.04000000,1309.73000000,31159.30510000,1664186399999,41000317.15936100,40361,14782.13080000,19452990.99282800,0
1664186400000,1309.72000000,1318.00000000,1307.00000000,1311.71000000,26707.28730000,1664189999999,35042093.84248900,31546,13926.77910000,18273097.97880200,0
1664190000000,1311.70000000,1313.75000000,1289.32000000,1297.22000000,35208.93440000,1664193599999,45791346.94536600,42372,15929.61780000,20715795.68192000,0
1664193600000,1297.22000000,1321.90000000,1293.70000000,1315.85000000,37595.96910000,1664197199999,49171409.68260500,46333,21054.92100000,27541307.12126100,0
1664197200000,1315.86000000,1327.25000000,1308.53000000,1324.79000000,51152.86880000,1664200799999,67415580.26101800,59205,27880.43720000,36750112.98710000,0
1664200800000,1324.80000000,1338.51000000,1320.79000000,1330.01000000,57207.95020000,1664204399999,76114772.46806100,67581,25639.36620000,34115095.08892400,0
1664204400000,1330.00000000,1332.14000000,1314.35000000,1325.17000000,37446.60860000,1664207999999,49549992.13163000,46024,19389.03570000,25664883.84473200,0
1664208000000,1325.18000000,1325.18000000,1311.27000000,1322.46000000,51018.76190000,1664211599999,67254112.20293300,50822,26596.10130000,35059780.47375600,0
1664211600000,1322.47000000,1327.81000000,1315.14000000,1323.04000000,27558.81520000,1664215199999,36411576.46273200,31685,14872.82390000,19652540.80325900,0
1664215200000,1323.03000000,1333.04000000,1321.27000000,1330.95000000,23926.30860000,1664218799999,31782851.16274000,34775,12661.18440000,16817820.65907500,0
1664218800000,1330.95000000,1340.42000000,1326.85000000,1330.38000000,39592.71840000,1664222399999,52795565.97199900,47127,20055.80890000,26750128.25139300,0
1664222400000,1330.37000000,1332.00000000,1321.50000000,1324.87000000,31151.88270000,1664225999999,41356830.61761500,29796,14020.36580000,18607970.77055800,0
1664226000000,1324.88000000,1326.68000000,1315.32000000,1317.19000000,12783.51920000,1664229599999,16882020.23496300,18267,7165.47140000,9461710.57257700,0
1664229600000,1317.18000000,1334.13000000,1315.29000000,1327.44000000,18720.54010000,1664233199999,24814440.10163700,23979,10464.36210000,13870838.01871000,0
1664233200000,1327.45000000,1337.73000000,1327.08000000,1336.17000000,19349.25010000,1664236799999,25807300.02259500,24163,9166.53660000,12225923.43775100,0
1664236800000,1336.17000000,1348.26000000,1332.28000000,1342.83000000,37926.71010000,1664240399999,50858440.26630600,36638,18507.82420000,24825742.41736800,0
1664240400000,1342.82000000,1379.62000000,1342.22000000,1367.05000000,63334.94680000,1664243999999,86294930.07028500,74741,35280.86270000,48050666.09106400,0
1664244000000,1367.06000000,1376.71000000,1361.88000000,1376.42000000,27660.14200000,1664247599999,37815405.86765200,34280,14157.97890000,19355309.79042300,0
1664247600000,1376.42000000,1389.77000000,1370.71000000,1385.66000000,50910.74580000,1664251199999,70344618.45007400,53634,26949.67710000,37239333.61383100,0
1664251200000,1385.66000000,1387.62000000,1379.03000000,1380.41000000,28052.07270000,1664254799999,38804256.71786800,36270,14566.25530000,20151191.79366300,0
1664254800000,1380.40000000,1387.01000000,1375.04000000,1386.82000000,34716.08080000,1664258399999,47928324.31881000,47478,18064.65600000,24941766.16427000,0
1664258400000,1386.81000000,1394.56000000,1383.83000000,1384.03000000,30171.05950000,1664261999999,41888072.04919700,38067,15575.49580000,21627122.76968800,0
1664262000000,1384.03000000,1390.25000000,1380.56000000,1382.33000000,20180.69720000,1664265599999,27953518.84172500,30235,9525.33190000,13195333.93120600,0
1664265600000,1382.34000000,1384.72000000,1375.69000000,1378.33000000,22964.24240000,1664269199999,31718832.86700600,35896,10646.50310000,14704561.71900800,0
1664269200000,1378.33000000,1386.33000000,1375.60000000,1384.41000000,21047.83840000,1664272799999,29067433.97856300,28465,10774.95700000,14877634.53300400,0
1664272800000,1384.40000000,1389.44000000,1383.20000000,1387.02000000,18972.60340000,1664276399999,26306575.95491300,23773,9833.41780000,13633611.16662000,0
1664276400000,1387.02000000,1399.06000000,1382.01000000,1388.81000000,31541.53010000,1664279999999,43878036.83997700,38700,16011.52470000,22276888.39495600,0
1664280000000,1388.82000000,1400.00000000,1385.59000000,1392.06000000,39557.16200000,1664283599999,55124312.40583200,47067,19133.16620000,26663828.44110000,0
1664283600000,1392.07000000,1399.16000000,1379.57000000,1388.00000000,48576.85130000,1664287199999,67481689.21152400,53217,23864.03360000,33148454.61577500,0
1664287200000,1387.99000000,1391.58000000,1380.18000000,1388.36000000,37177.97410000,1664290799999,51535527.97022800,44113,19055.36860000,26415529.10781500,0
1664290800000,1388.35000000,1390.50000000,1364.62000000,1365.18000000,40918.47700000,1664294399999,56363258.97790700,51643,17674.25940000,24342957.77336800,0
1664294400000,1365.19000000,1367.68000000,1320.11000000,1331.83000000,84949.23320000,1664297999999,114003667.29576300,104245,42918.47390000,57609186.48502400,0
1664298000000,1331.84000000,1331.84000000,1308.50000000,1314.30000000,56863.22300000,1664301599999,75101670.32426300,72694,26227.97400000,34645719.78642700,0
1664301600000,1314.31000000,1325.72000000,1303.75000000,1323.11000000,44092.16010000,1664305199999,57958446.09657900,53211,24217.47950000,31834675.17589900,0
1664305200000,1323.11000000,1331.63000000,1311.78000000,1324.60000000,42662.00450000,1664308799999,56403302.23855700,48635,21259.92590000,28107674.84953500,0
1664308800000,1324.60000000,1325.29000000,1317.19000000,1324.88000000,20822.31030000,1664312399999,27508358.00293900,25533,11325.80530000,14963358.77046800,0
1664312400000,1324.88000000,1325.93000000,1316.69000000,1322.05000000,12397.29060000,1664315999999,16384615.00759500,20185,6617.78890000,8746124.28954400,0
1664316000000,1322.06000000,1331.43000000,1317.04000000,1330.01000000,21353.99730000,1664319599999,28326445.69227900,27342,10510.32630000,13942521.02935200,0
1664319600000,1330.00000000,1335.16000000,1326.56000000,1328.02000000,23735.54180000,1664323199999,31580901.18078300,29150,10745.36800000,14297469.74670700,0
1664323200000,1328.01000000,1340.44000000,1328.01000000,1333.63000000,23431.10130000,1664326799999,31265576.62985900,28264,11411.43220000,15228291.87022300,0
1664326800000,1333.63000000,1336.71000000,1306.00000000,1310.78000000,46516.64300000,1664330399999,61300784.59716900,49504,22508.88320000,29664234.97173000,0
1664330400000,1310.79000000,1312.71000000,1267.13000000,1277.15000000,95207.03600000,1664333999999,122259322.69965100,96408,42082.73850000,53993674.41603500,0
1664334000000,1277.14000000,1288.68000000,1275.91000000,1287.23000000,27013.47560000,1664337599999,34683031.46511600,36247,14015.75040000,17993716.79742400,0
